Gender,Name,Category,Concept,profile_image
Boy,Jinhyuk,Bright & Cheerful,"햇살 같은 비주얼, 항상 웃는 분위기 메이커",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_001.png
Boy,Minho,Bright & Cheerful,"발랄한 보컬, 스포츠 걸 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_002.png
Boy,Junho,Bright & Cheerful,"귀여운 막내, 애교 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_003.png
Boy,Taeyang,Bright & Cheerful,"청량한 보컬, 긍정 에너지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_004.png
Boy,Jisoo,Bright & Cheerful,"쾌활한 댄서, 팀 에너지 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_005.png
Boy,Hyunwoo,Bright & Cheerful,"활기찬 미소, 발랄한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_006.png
Boy,Seojun,Bright & Cheerful,"상큼한 보컬, 청순+밝음 조합",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_007.png
Boy,Dongha,Bright & Cheerful,"귀여운 제스처, 팬 서비스 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_008.png
Boy,Chanwoo,Bright & Cheerful,"밝은 미소, 러블리한 이미지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_009.png
Boy,Jaemin,Bright & Cheerful,"해맑은 막내, 귀여움+발랄",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_010.png
Boy,Jihwan,Bright & Cheerful,"맑은 청량 비주얼, 순수+쾌활",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_011.png
Boy,Kihyun,Bright & Cheerful,"해피 바이러스, 친근한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_012.png
Boy,Sehun,Bright & Cheerful,"밝고 순수한 비주얼, 긍정적",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_013.png
Boy,Jiwon,Bright & Cheerful,"활발한 성격, 댄스+보컬 다재다능",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_014.png
Boy,Sangmin,Bright & Cheerful,"청량한 미소, 무대 위 발랄 에너지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/male_015.png
