Gender,Name,Category,Concept,profile_image
Girl,Soojin,Bright & Cheerful,"햇살 같은 비주얼, 항상 웃는 분위기 메이커",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_001.png
Girl,Minseo,Bright & Cheerful,"발랄한 보컬, 스포츠 걸 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_002.png
Girl,Haru,Bright & Cheerful,"귀여운 막내, 애교 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_003.png
Girl,Yuna,Bright & Cheerful,"청량한 보컬, 긍정 에너지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_004.png
Girl,Taeyang,Bright & Cheerful,"쾌활한 댄서, 팀 에너지 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_005.png
Girl,Nari,Bright & Cheerful,"활기찬 미소, 발랄한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_006.png
Girl,Jisoo,Bright & Cheerful,"상큼한 보컬, 청순+밝음 조합",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_007.png
Girl,Hayul,Bright & Cheerful,"귀여운 제스처, 팬 서비스 담당",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_008.png
Girl,Haeun,Bright & Cheerful,"밝은 미소, 러블리한 이미지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_009.png
Girl,Eunchae,Bright & Cheerful,"해맑은 막내, 귀여움+발랄",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_010.png
Girl,Haneul,Bright & Cheerful,"맑은 청량 비주얼, 순수+쾌활",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_011.png
Girl,Yeonwoo,Bright & Cheerful,"해피 바이러스, 친근한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_012.png
Girl,Rina,Bright & Cheerful,"밝고 순수한 비주얼, 긍정적",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_013.png
Girl,Jiwon,Bright & Cheerful,"활발한 성격, 댄스+보컬 다재다능",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_014.png
Girl,Seoyoon,Bright & Cheerful,"청량한 미소, 무대 위 발랄 에너지",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_015.png
Girl,Jiwoo,Cool & Chic,"카리스마 리더, 무대에서 시크",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_016.png
Girl,Kai,Cool & Chic,"도시적 비주얼, 말수 적음",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_017.png
Girl,Sena,Cool & Chic,"도도한 표정, 도시 미인",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_018.png
Girl,Hyun,Cool & Chic,"차분한 매력, 무대 위 카리스마",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_019.png
Girl,Mirae,Cool & Chic,시크+은근한 다정함,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_020.png
Girl,Eunjin,Cool & Chic,"강렬한 눈빛, 도도한 분위기",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_021.png
Girl,Hana,Cool & Chic,"도시적 보컬, 쿨톤 비주얼",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_022.png
Girl,Raon,Cool & Chic,무대 위 카리스마 댄서,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_023.png
Girl,Sihyun,Cool & Chic,차갑지만 섹시한 이미지,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_024.png
Girl,Doha,Cool & Chic,"훈훈한 비주얼, 시크한 성격",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_025.png
Girl,Kairi,Cool & Chic,일본풍 시크한 매력,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_026.png
Girl,Lina,Cool & Chic,"차갑고 세련된 느낌, 카리스마 보컬",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_027.png
Girl,Suri,Cool & Chic,"고양이상 비주얼, 도도한 태도",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_028.png
Girl,Noah,Cool & Chic,"시크한 남자 아이돌, 미니멀 감성",https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_029.png
Girl,Eunwoo,Cool & Chic,섬세하고 도도한 비주얼 담당,https://lylblbckiwabbnjasahu.supabase.co/storage/v1/object/public/idols/female_030.png
